"id";"name";"abv";"breweryId";"beerstyleId"
"569";"Les Trois Mousquetaires Doppelbock Grande Cuvée (2016)";"8.0";"2546";"423"
"572";"Viven Porter  / Smoked Porter (2018)";"7.0";"28007";"249"
"575";"Binkie Claws BA Woodford Reserve";"11.0";"3367";"156"
"578";"Dutch Bargain Limited Edition #1 Bosbrand IPA";"6.0";"53536";"819"
"581";"Crybaby Blackberry Edition";"2.0";"32280";"27"
"584";"Pisghetti Western";"15.0";"170844";"15"
"587";"You Can't Buy Happiness But You Can Buy This Barley Wine And That's Kind of the Same Thing";"11.0";"188723";"138"
"590";"Bintang Pilsener";"4.0";"2885";"264"
"593";"Kinderyoga Gone Wild (batch 1)";"12.0";"45376";"573"
"596";"Raspberry Rage";"7.0";"395819";"573"
"599";"Sori, Not Sorry";"6.0";"269726";"751"
"602";"Pronck Citra Rye IPA";"5.0";"184693";"435"
"605";"Zaječarsko Svetlo";"4.0";"264808";"243"
"608";"Cuvée Delphine (2015) AKA Cuvée Oscar";"13.0";"433";"3"
"611";"Barrel Blend V";"13.0";"269726";"75"
"614";"Crybaby Raspberry Edition";"2.0";"32280";"679"
"617";"Veldwachter Bock";"7.0";"15703";"162"
"620";"Maredsous Triple / Tripel";"10.0";"6";"45"
"623";"Smeerolie Molasses/Chipotle/Cocos";"10.0";"269726";"15"
"626";"Beastmode";"10.0";"269726";"57"
"629";"Ayinger Bräuweisse";"5.0";"10915";"739"
"632";"Das Wunderkind! (Blend 21)";"5.0";"5291";"567"
"635";"Prodigal (2018)";"10.0";"3533";"75"
"638";"Northern Powerhouse Brew Series 007";"7.0";"9187";"18"
"641";"Rio Pale Ale";"5.0";"197952";"234"
"644";"Fishman";"10.0";"25244";"15"
"647";"La Trappe Quadrupel Oak Aged Batch #25";"11.0";"110";"78"
"650";"De Stadspoorten";"7.0";"78878";"279"
"653";"Bourbon County Brand Stout (2017) 14.1%";"14.0";"2898";"15"
"656";"Manaphin Ethiopia Sighting";"11.0";"60255";"219"
"659";"Barrel Blend IV";"12.0";"269726";"15"
"662";"Gold";"4.0";"33528";"66"
"665";"Mettle";"8.0";"23038";"117"
"668";"Aldersbacher 1268er Zwickl";"5.0";"19152";"291"
"671";"George!";"12.0";"2813";"345"
"674";"Northern Powerhouse Brew Series 006";"5.0";"9187";"195"
"677";"Pannepot Reserva 2014 Cask Strength Makers Mark BA";"10.0";"433";"165"
"680";"Arthur's Legacy No. 9 - The Brave";"8.0";"150230";"84"
"683";"Saison Dupont Cuvée Dry Hopping (2018)";"6.0";"189";"153"
"686";"De Gijt met 9 horens en 1 Oog";"9.0";"17984";"3"
"689";"Only Void (Blackberry Raspberry Vanilla)";"11.0";"6226";"15"
"692";"Einbecker Winter-Bock";"7.0";"484";"423"
"695";"Pronck Nut Brown Ale";"7.0";"184693";"450"
"698";"Aktien Zwick'l Kellerbier";"5.0";"11687";"291"
"701";"Smoked Porter";"6.0";"17";"249"
"704";"Strawberry (2014)";"7.0";"1035";"177"
"707";"Onheilsprofeet DBA Isle of Arran & Glen Garioch";"13.0";"620";"15"
"710";"Double Roast Brandmeester's Sumatra";"10.0";"269726";"694"
"713";"BOCKS (2018)";"7.0";"32296";"162"
"716";"#5 - Gose";"5.0";"17984";"703"
"719";"Chimay Grande Reserve Fermentée en Barriques (02/2018)";"10.0";"378";"165"
"722";"Spruce Willis";"5.0";"188723";"120"
"725";"Even More Coco Jesus";"12.0";"3735";"15"
"728";"Three Fourteen";"5.0";"167487";"36"
"731";"Awesome Autumn Rum Bock";"6.0";"271494";"162"
"734";"Northern Powerhouse Brew Series 005";"4.0";"9187";"177"
"737";"Barley Wine Reserva";"18.0";"188723";"156"
"740";"Chocolate Rain (2015)";"18.0";"1246";"30"
"743";"Mix Tape 8";"14.0";"241";"117"
"746";"Herr Hemlig IPA 2.0";"5.0";"167487";"36"
"749";"200 Empire State Buildings";"6.0";"211325";"18"
"752";"Luxe Barrel Aged Barley Wine";"9.0";"146374";"207"
"755";"Aztec Hot Chocolate";"10.0";"269726";"15"
"758";"Oro Negro";"10.0";"5083";"30"
